0.0296,1.1384,0.019,-0.555,0.135
3469392,1313,1860,2311,-0.0897,-0.0309,1.1384,0.114,-0.609,0.144
3469402,1309,1876,1682,-0.0893,-0.0307,1.1398,0.180,-0.661,0.169
3469412,1344,1859,1638,-0.0884,-0.0297,1.1410,0.195,-0.701,0.197
3469422,1314,1872,2199,-0.0875,-0.0281,1.1414,0.201,-0.694,0.216
3469432,1327,1861,1934,-0.0874,-0.0272,1.1406,0.204,-0.640,0.224
3469442,1332,1883,2280,-0.0874,-0.0265,1.1408,0.207,-0.628,0.215
3469452,1317,1859,2430,-0.0871,-0.0270,1.1403,0.229,-0.629,0.180
3469462,1388,1891,2238,-0.0880,-0.0281,1.1401,0.252,-0.625,0.148
3469472,1327,1856,1979,-0.0878,-0.0295,1.1410,0.212,-0.656,0.134
3469482,1323,1874,1745,-0.0874,-0.0306,1.1404,0.121,-0.666,0.158
3469492,1328,1858,1928,-0.0883,-0.0316,1.1382,0.010,-0.631,0.185
3469502,1320,1877,1728,-0.0882,-0.0323,1.1378,-0.101,-0.648,0.196
3469512,1329,1859,1900,-0.0887,-0.0328,1.1381,-0.161,-0.666,0.188
3469522,1323,1883,1629,-0.0887,-0.0321,1.1383,-0.154,-0.679,0.165
3469532,1335,1855,1970,-0.0874,-0.0310,1.1386,-0.056,-0.708,0.172
3469542,1323,1871,1619,-0.0870,-0.0294,1.1397,0.134,-0.719,0.205
3469552,1339,1859,1757,-0.0875,-0.0278,1.1391,0.385,-0.685,0.234
3469562,1329,1877,1605,-0.0873,-0.0274,1.1402,0.633,-0.647,0.244
3469572,1322,1863,2017,-0.0873,-0.0268,1.1395,0.785,-0.609,0.245
3469582,1323,1868,2085,-0.0879,-0.0281,1.1396,0.817,-0.548,0.241
3469592,1358,1872,1816,-0.0892,-0.0288,1.1397,0.727,-0.527,0.243
3469602,1327,1874,1668,-0.0896,-0.0293,1.1386,0.548,-0.563,0.240
3469612,1334,1860,1990,-0.0895,-0.0298,1.1388,0.277,-0.669,0.218
3469622,1333,1888,2082,-0.0882,-0.0301,1.1393,-0.061,-0.802,0.195
3469632,1328,1857,1947,-0.0870,-0.0306,1.1410,-0.353,-0.887,0.140
3469642,1327,1876,1703,-0.0870,-0.0302,1.1414,-0.543,-0.931,0.076
3469652,1331,1857,1922,-0.0863,-0.0304,1.1430,-0.593,-0.942,0.038
3469662,1329,1877,1701,-0.0857,-0.0296,1.1442,-0.467,-0.866,0.060
3469672,1350,1858,1993,-0.0863,-0.0290,1.1433,-0.212,-0.758,0.084
3469682,1332,1843,1760,-0.0867,-0.0292,1.1427,0.112,-0.672,0.118
3469692,1336,1858,1599,-0.0869,-0.0304,1.1412,0.428,-0.590,0.147
3469702,1329,1872,1855,-0.0873,-0.0305,1.1402,0.675,-0.520,0.184
3469712,1346,1859,1643,-0.0885,-0.0319,1.1389,0.829,-0.471,0.227
3469722,1332,1886,1640,-0.0889,-0.0311,1.1385,0.851,-0.462,0.286
3469732,1349,1860,1606,-0.0887,-0.0298,1.1391,0.731,-0.506,0.310
3469742,1351,1904,1715,-0.0885,-0.0290,1.1382,0.545,-0.580,0.324
3469752,1337,1861,2492,-0.0884,-0.0276,1.1388,0.337,-0.639,0.343
3469762,1332,1874,2557,-0.0876,-0.0272,1.1406,0.134,-0.693,0.329
3469772,1356,1866,1599,-0.0872,-0.0280,1.1413,-0.026,-0.715,0.302
3469782,1336,1887,1648,-0.0868,-0.0292,1.1414,-0.109,-0.735,0.274
3469792,1337,1858,2883,-0.0874,-0.0296,1.1418,-0.124,-0.728,0.263
3469802,1341,1881,1629,-0.0866,-0.0298,1.1408,-0.102,-0.711,0.269
3469812,1347,1859,2000,-0.0864,-0.0299,1.1413,-0.071,-0.697,0.275
3469822,1379,1903,1801,-0.0868,-0.0308,1.1411,-0.020,-0.672,0.271
3469832,1357,1859,1740,-0.0865,-0.0316,1.1405,0.028,-0.665,0.242
3469842,1333,1893,1973,-0.0863,-0.0316,1.1417,0.082,-0.680,0.206
3469852,1350,1859,1718,-0.0864,-0.0315,1.1402,0.180,-0.694,0.201
3469862,1338,1882,1720,-0.0857,-0.0305,1.1406,0.285,-0.683,0.201
3469872,1359,1860,1605,-0.0858,-0.0292,1.1407,0.370,-0.662,0.199
3469882,1338,1884,1759,-0.0862,-0.0289,1.1400,0.435,-0.652,0.186
3469892,1351,1863,1639,-0.0860,-0.0289,1.1390,0.487,-0.640,0.146
3469902,1341,1882,1640,-0.0867,-0.0292,1.1394,0.501,-0.676,0.092
3469912,1363,1859,1707,-0.0869,-0.0293,1.1397,0.488,-0.727,0.079
3469922,1341,1879,1616,-0.0873,-0.0288,1.1390,0.450,-0.763,0.076
3469932,1358,1865,1681,-0.0870,-0.0285,1.1417,0.371,-0.828,0.049
3469942,1363,1895,1970,-0.0861,-0.0282,1.1436,0.258,-0.910,-0.000
3469952,1360,1857,1857,-0.0855,-0.0282,1.1441,0.149,-0.934,-0.015
3469962,1346,1879,1650,-0.0854,-0.0277,1.1439,0.038,-0.912,-0.023
3469972,1359,1863,1647,-0.0852,-0.0267,1.1446,-0.075,-0.839,-0.036
3469982,1347,1893,1750,-0.0859,-0.0275,1.1438,-0.210,-0.764,-0.006
3469992,1362,1855,2051,-0.0869,-0.0277,1.1435,-0.407,-0.706,0.048
3470002,1346,1880,1733,-0.0875,-0.0276,1.1432,-0.712,-0.675,0.098
3470012,1356,1869,1644,-0.0882,-0.0275,1.1426,-1.109,-0.672,0.145
3470022,1350,1881,2206,-0.0882,-0.0276,1.1429,-1.569,-0.700,0.170
3470032,1361,1857,1670,-0.0868,-0.0279,1.1449,-2.074,-0.781,0.182
3470042,1351,1897,1663,-0.0868,-0.0280,1.1455,-2.593,-0.822,0.182
