.1662,1.0958,-0.320,-0.947,0.029
5480742,1660,1900,1873,0.2819,-0.1651,1.0970,-0.302,-0.917,0.078
5480752,1658,1861,1855,0.2816,-0.1647,1.0985,-0.293,-0.915,0.073
5480762,1655,1870,1879,0.2809,-0.1646,1.0986,-0.275,-0.855,0.051
5480772,1747,1867,1863,0.2806,-0.1642,1.0954,-0.146,-0.772,0.054
5480782,1649,1878,1860,0.2808,-0.1643,1.0965,-0.068,-0.791,0.071
5480792,1656,1859,1847,0.2802,-0.1654,1.0975,-0.159,-0.833,0.104
5480802,1813,1890,1890,0.2793,-0.1647,1.0962,-0.299,-0.800,0.158
5480812,1665,1858,1851,0.2790,-0.1655,1.0979,-0.486,-0.785,0.210
5480822,1656,1859,1879,0.2803,-0.1661,1.0994,-0.720,-0.853,0.220
5480832,1834,1867,1912,0.2813,-0.1673,1.0989,-0.893,-0.871,0.205
5480842,1663,1860,1873,0.2809,-0.1683,1.0993,-0.923,-0.822,0.178
5480852,1686,1868,1889,0.2798,-0.1680,1.0985,-0.782,-0.788,0.161
5480862,1722,1862,1890,0.2798,-0.1668,1.0977,-0.530,-0.754,0.153
5480872,1745,1855,1848,0.2792,-0.1675,1.0965,-0.269,-0.705,0.153
5480882,1684,1876,1913,0.2790,-0.1665,1.0960,-0.031,-0.652,0.191
5480892,1669,1861,1887,0.2797,-0.1660,1.0970,0.095,-0.656,0.257
5480902,1650,1866,1857,0.2788,-0.1655,1.0983,-0.022,-0.719,0.314
5480912,1673,1868,1855,0.2782,-0.1650,1.0985,-0.305,-0.767,0.332
5480922,1886,1863,1871,0.2785,-0.1650,1.0966,-0.636,-0.815,0.310
5480932,1925,1862,1853,0.2795,-0.1658,1.0964,-0.937,-0.900,0.254
5480942,1658,1861,1895,0.2801,-0.1676,1.0957,-1.117,-0.967,0.163
5480952,1665,1881,1851,0.2806,-0.1700,1.0951,-1.115,-0.998,0.070
5480962,1655,1859,1865,0.2806,-0.1715,1.0954,-0.994,-1.033,0.016
5480972,1940,1865,1863,0.2805,-0.1731,1.0950,-0.811,-1.067,0.001
5480982,1657,1863,1934,0.2804,-0.1730,1.0941,-0.622,-1.081,0.005
5480992,1658,1860,1848,0.2802,-0.1717,1.0937,-0.410,-1.072,0.028
5481002,1654,1857,1893,0.2800,-0.1687,1.0940,-0.122,-1.017,0.053
5481012,1737,1871,1852,0.2797,-0.1658,1.0960,0.144,-0.968,0.055
5481022,1656,1882,1889,0.2798,-0.1648,1.0958,0.338,-0.932,0.016
5481032,1655,1860,1848,0.2796,-0.1659,1.0955,0.352,-0.926,-0.020
5481042,1694,1857,1866,0.2797,-0.1666,1.0961,0.148,-0.969,-0.013
5481052,1689,1863,1874,0.2797,-0.1681,1.0962,-0.163,-1.014,0.020
5481062,1745,1858,1867,0.2792,-0.1695,1.0975,-0.473,-1.083,0.056
5481072,1660,1861,1854,0.2784,-0.1694,1.0974,-0.625,-1.089,0.093
5481082,1699,1871,1849,0.2782,-0.1686,1.0955,-0.467,-1.005,0.134
5481092,1746,1868,1878,0.2783,-0.1684,1.0970,-0.217,-0.990,0.156
5481102,1673,1873,1861,0.2798,-0.1680,1.0969,0.010,-1.025,0.160
5481112,1679,1859,1851,0.2801,-0.1690,1.0980,0.076,-1.042,0.143
5481122,1657,1862,1898,0.2801,-0.1689,1.0969,0.031,-1.003,0.136
5481132,1709,1871,1857,0.2796,-0.1682,1.0983,0.015,-1.005,0.144
5481142,1729,1859,1873,0.2801,-0.1686,1.1006,-0.053,-1.075,0.167
5481152,1670,1860,1849,0.2806,-0.1676,1.0967,0.032,-1.002,0.210
5481162,1695,1858,1862,0.2809,-0.1673,1.0966,0.188,-0.914,0.275
5481172,1719,1864,1856,0.2808,-0.1663,1.0964,0.258,-0.929,0.359
5481182,1655,1863,1872,0.2819,-0.1671,1.0989,0.350,-0.943,0.447
5481192,1665,1857,1850,0.2809,-0.1674,1.0980,0.117,-0.961,0.512
5481202,1680,1858,1847,0.2792,-0.1671,1.0946,0.084,-0.857,0.578
5481212,1701,1860,1847,0.2786,-0.1665,1.0975,-0.024,-0.856,0.622
5481222,1665,1890,1874,0.2785,-0.1660,1.0977,-0.143,-0.941,0.652
5481232,1748,1871,1858,0.2786,-0.1675,1.0957,-0.086,-0.879,0.665
5481242,1663,1873,1946,0.2788,-0.1697,1.0978,-0.102,-0.869,0.703
5481252,1721,1870,1847,0.2795,-0.1696,1.0964,0.005,-0.819,0.865
5481262,1699,1861,1870,0.2792,-0.1680,1.0964,0.112,-0.691,1.121
5481272,1770,1930,1864,0.2775,-0.1656,1.0981,0.101,-0.624,1.431
5481282,1696,1880,1901,0.2759,-0.1633,1.0974,0.031,-0.534,1.701
5481292,1672,1860,1854,0.2769,-0.1638,1.0981,-0.338,-0.579,1.814
5481302,1689,1867,1866,0.2790,-0.1660,1.0986,-0.730,-0.622,1.802
5481312,1733,1887,1856,0.2805,-0.1687,1.0977,-1.087,-0.589,1.750
5481322,1669,1872,1856,0.2814,-0.1685,1.0975,-1.257,-0.580,1.759
5481332,1681,1861,1856,0.2805,-0.1688,1.0970,-1.105,-0.456,1.792
5481342,1671,1860,1850,0.2801,-0.1693,1.0963,-0.697,-0.317,1.879
5481352,1680,1862,1849,0.2800,-0.1710,1.0955,-0.196,-0.182,2.039
5481362,1717,1857,1853,0.2810,-0.1734,1.0962,0.173,-0.130,2.303
5481372,1690,1861,1868,0.2818,-0.1754,1.0952,0.298,-0.079,2.673
5481382,1664,1861,1851,0.2828,-0.1754,1.0951,0.255,-0.005,3.100
5481392,1701,1858,1848,0.2822,-0.1744,1.0966,0.107,0.030,3.491
5481402,1803,1867,1850,0.2821,-0.1735,1.0947,0.173,0.173,3.832
5481412,2001,1900,1897,0.2810,-0.1733,1.0949,0.608,0.418,4.180
5481422,1719,1871,1852,0.2797,-0.1701,1.0961,1.278,0.703,4.599
5481432,1669,1860,1848,0.2778,-0.1642,1.0979,2.086,1.047,5.163
5481442,1699,1862,1849,0.2764,-0.1587,1.0997,2.511,1.226,5.744
5481452,1874,1904,1848,0.2745,-0.1576,1.1009,2.439,1.302,6.186
5481462,1683,1875,1862,0.2746,-0.1617,1.0994,1.874,1.339,6.450
5481472,1662,1864,1852,0.2752,-0.1699,1.0986,1.013,1.264,6.650
5481482,1665,1878,1882,0.2765,-0.1765,1.0977,0.072,1.136,6.906
5481492,1683,1864,1852,0.2723,-0.1841,1.1015,-0.644,1.091,7.262
5481502,1680,1876,1880,0.2697,-0.1824,1.0988,-0.661,1.232,7.851
5481512,1673,1868,1848,0.2701,-0.1756,1.1049,0.004,1.080,8.530
5481522,1684,1860,1870,0.2710,-0.1762,1.1011,0.775,1.163,8.828
5481532,1976,1876,1848,0.2745,-0.1774,1.0949,1.569,1.413,8.928
5481542,1742,1866,1849,0.2759,-0.1815,1.0921,2.004,1.548,9.007
5481552,1706,1857,1858,0.2755,-0.1815,1.0964,2.163,1.460,9.192
5481562,1723,1861,1858,0.2741,-0.1856,1.0948,2.357,1.683,9.463
5481572,1693,1871,1852,0.2738,-0.1884,1.0951,2.761,2.026,9.855
5481582,1752,1861,1873,0.2753,-0.1921,1.1001,3.259,2.336,10.366
