1880613,318,2028.26,-609.43,19208.17,283.74,250.91,-57.81
1880626,215,1984.21,-570.74,19224.13,265.84,252.24,-59.60
1880639,0,1946.57,-546.99,19225.71,249.72,246.10,-64.23
1880652,63,1870.86,-535.99,19159.77,240.63,217.80,-79.94
1880665,338,1957.48,-518.40,19193.41,182.75,75.15,-87.70
1880678,0,1905.99,-451.52,19185.93,142.05,-10.77,-82.91
1880691,193,1911.19,-429.21,19222.34,113.89,-83.10,-106.88
1880704,449,1919.35,-373.77,19151.47,57.16,-205.57,-107.06
1880717,0,1920.28,-333.42,19042.78,5.37,-375.34,-108.20
1880730,0,1953.83,-293.93,19008.62,-47.65,-570.96,-90.91
1880743,171,2099.86,-262.35,18901.30,-120.67,-777.26,-34.88
1880756,19,1864.69,-113.08,18651.44,-156.09,-1006.09,-7.65
1880769,385,1885.35,-84.86,18413.15,-152.03,-1286.56,10.32
1880782,147,2111.48,-60.69,18208.12,-152.17,-1622.54,115.11
1880795,67,2537.18,-90.15,18261.70,-168.49,-2042.12,394.53
1880808,86,3101.75,-192.12,18504.56,-180.74,-2299.58,711.48
1880821,51,3683.00,-312.10,18861.25,-232.55,-2404.55,1061.23
1880834,353,4059.20,-372.08,19327.40,-343.79,-1941.93,1582.43
1880847,2,4180.96,-397.66,19620.32,-427.58,-1235.43,2107.59
1880860,0,4175.97,-424.53,19877.05,-507.62,-418.83,2607.92
1880873,544,4325.57,-486.82,19993.64,-702.45,469.05,3262.99
1880886,0,4693.26,-624.66,20073.32,-955.31,1270.55,3947.84
1880899,31,5076.21,-776.53,20027.45,-1205.20,2049.15,4729.52
1880912,434,5286.57,-988.42,19837.16,-1389.31,2811.63,5544.46
1880925,49,4954.85,-1211.54,19360.13,-1227.60,3625.62,6443.82
1880938,235,4832.68,-1417.23,18859.30,-1074.63,4318.61,7337.30
1880951,18,4677.35,-1581.78,18345.84,-937.46,4724.40,8249.69
1880964,123,4457.88,-1687.83,17991.87,-724.72,4617.03,9256.00
1880977,0,4113.50,-1710.26,17828.70,-515.53,4425.74,10183.85
1880990,46,3680.40,-1689.01,17778.16,-284.97,4250.30,11026.33
1881003,406,3175.52,-1637.61,17814.53,109.67,4379.15,11808.11
1881015,15,2617.22,-1565.29,17847.63,545.18,4678.84,12433.14
1881027,0,2012.17,-1476.23,17885.30,996.99,5080.58,12891.76
1881040,0,1314.54,-1344.18,17826.64,1429.04,5491.38,13177.86
1881052,416,538.83,-1110.55,17605.31,1868.48,5932.21,13207.53
1881065,0,-240.94,-886.84,17411.45,2263.23,6231.28,13128.08
1881078,0,-899.15,-629.47,17236.36,2616.24,6349.74,12936.51
1881091,152,-1492.12,-369.98,17181.09,2902.64,6282.10,12638.46
1881104,0,-2115.29,-76.78,17332.07,3052.76,5668.20,12098.81
1881117,0,-2524.24,174.58,17604.06,3096.85,4837.67,11509.10
1881129,0,-2796.99,411.66,17939.25,3052.13,3872.65,10887.73
1881142,269,-2911.19,611.73,18445.00,2846.75,2748.03,10080.63
1881154,0,-2904.15,790.18,18944.00,2636.85,1814.74,9297.15
1881166,0,-2785.72,912.15,19448.80,2435.53,1104.10,8552.57
1881178,0,-2665.38,992.92,19960.64,2242.87,650.39,7871.11
1881191,87,-2557.10,1053.53,20406.91,2047.14,411.23,7255.13
1881203,86,-2458.48,1099.63,20743.13,1760.76,356.09,6620.96
1881216,0,-2362.79,1115.70,21041.71,1419.46,404.99,6047.81
1881228,13,-2335.83,1122.96,21284.56,1029.42,496.50,5538.50
1881241,83,-2259.86,1063.97,21522.85,560.38,545.91,5087.65
1881253,20,-2147.89,978.38,21739.08,112.95,600.04,4712.97
1881265,0,-2084.71,913.90,21900.87,-336.39,651.75,4391.22
1881278,0,-2000.57,860.72,22095.89,-789.26,717.91,4105.83
1881291,338,-1909.26,728.58,22166.31,-1339.36,813.44,3871.31
1881304,0,-1857.00,605.26,22186.65,-1891.84,866.27,3676.50
1881317,0,-1826.40,481.01,22194.12,-2436.63,886.92,3504.85
1881330,158,-1826.72,328.01,22136.90,-2961.45,897.65,3362.72
1881343,0,-1848.58,175.21,22170.32,-3556.91,986.43,3246.63
1881356,0,-1864.46,19.36,22167.46,-4127.68,1067.86,3153.35
1881369,0,-1953.17,-114.91,22087.56,-4698.10,1073.40,3075.53
1881382,0,-1743.34,-351.13,21776.45,-5375.63,841.63,2974.47
1881395,0,-1702.67,-594.50,21394.76,-5981.46,560.22,2891.63
1881408,0,-1939.74,-739.60,21062.21,-6507.12,166.89,2777.15
1881421,21,-2226.19,-821.28,20852.17,-7153.65,-943.98,2608.77
1881434,0,-2576.15,-922.62,20775.34,-7832.07,-2418.87,2338.86
1881447,139,-2692.12,-1102.90,20705.87,-8575.01,-4328.38,2016.74
1881460,0,-2676.90,-1357.52,20690.29,-9392.96,-6557.39,1707.04
1881473,0,-2486.32,-1728.42,20654.64,-10479.72,-9812.20,1357.88
1881486,0,-2256.25,-2047.53,20649.31,-11326.13,-13027.85,1075.35
1881499,171,-2053.00,-2322.83,20687.45,-11948.45,-16019.37,870.53
1881512,0,-1059.20,-2402.26,20823.56,-12357.92,-19273.58,947.07
1881525,0,-683.36,-2724.21,20553.25,-12901.88,-22033.15,998.11
1881538,0,-35.49,-2888.97,20103.40,-13639.06,-24240.81,1011.33
1881551,0,547.61,-3265.57,19113.92,-14126.20,-26006.94,1156.32
1881564,0,704.49,-3682.86,18089.54,-14479.51,-27419.84,1233.10
1881577,0,957.19,-3858.29,16790.83,-14744.56,-28550.16,1286.73
1881590,188,1632.15,-4101.83,15648.66,-14791.00,-29454.41,1272.43
1881603,0,2190.52,-4307.86,14846.13,-14756.35,-30177.82,1178.19
1881616,0,3130.82,-4427.09,13679.31,-14670.43,-30756.54,1078.00
1881629,0,3599.85,-4383.27,12377.04,-14447.90,-31219.52,923.25
1881642,51,3771.08,-4213.82,11004.04,-13678.87,-30316.10,282.25
1881655,4,3996.07,-4053.45,9628.83,-12753.25,-28838.17,-583.55
1881668,0,4531.25,-3890.76,8479.06,-11807.35,-27115.63,-1622.99
1881681,0,5338.60,-3735.01,7340.05,-10682.63,-24063.39,-2967.55
1881694,0,5589.28,-3520.01,6240.84,-9445.86,-20377.40,-4260.19
1881707,0,5265.83,-3284.01,5075.07,-8062.64,-16373.40,-5625.90
1881720,0,5223.86,-2894.41,4259.26,-6249.26,-13029.01,-7504.47
1881733,0,6041.49,-2583.52,3899.41,-4636.36,-11014.70,-9243.13
1881746,260,7400.39,-2408.42,3977.13,-3253.64,-9898.24,-10699.86
1881759,172,8991.51,-2282.74,4396.90,-2082.67,-9157.88,-11799.84
1881772,113,10850.81,-2373.39,5349.52,-1143.28,-8242.19,-12446.82
1881785,0,12639.85,-2513.11,6154.82,-385.38,-7287.44,-12770.61
1881798,153,14095.88,-2714.49,6976.65,145.94,-6464.04,-12768.24
1881811,81,15523.90,-3091.59,7892.52,372.40,-5963.32,-12185.34
1881824,32,16729.52,-3462.07,8714.82,404.77,-5681.94,-11390.63
1881837,0,17862.82,-3846.46,9435.05,225.86,-5557.84,-10427.45
1881850,0,18587.86,-4333.17,9996.04,-230.06,-5312.16,-9053.91
1881863,0,18995.88,-4774.53,10302.44,-690.00,-5007.82,-7709.28
1881876,0,19146.31,-5138.83,10360.35,-1102.15,-4651.74,-6441.58
1881889,0,19130.65,-5425.46,10225.88,-1450.07,-4269.88,-5165.41
1881902,0,19113.32,-5643.57,10019.90,-1709.41,-3902.19,-4057.68
1881915,0,19035.46,-5798.86,9778.32,-1873.08,-3513.04,-3097.50
1881928,280,18873.96,-5918.29,9601.06,-1937.62,-3033.12,-2275.35
1881941,0,18427.17,-5937.83,9348.85,-1771.05,-2210.58,-1574.23
1881954,0,17955.34,-5885.46,9039.08,-1515.59,-1422.16,-1022.54
1881967,0,17519.47,-5809.97,8812.06,-1210.22,-751.61,-592.18
1881980,368,17122.78,-5663.18,8755.25,-754.53,-156.78,-268.90
1881993,0,16900.62,-5552.14,8733.80,-316.78,298.89,-10.47
1882006,541,16661.30,-5444.11,8787.84,108.43,714.62,219.07
1882019,0,16353.04,-5316.89,8900.67,544.19,1212.41,460.11
1882031,0,15980.03,-5203.91,8999.74,919.60,1653.64,672.33
1882043,0,15684.82,-5095.13,9094.19,1226.73,1994.03,861.92
1882055,0,15374.26,-5011.30,9224.95,1458.23,2218.13,1039.98
1882068,0,15070.61,-4937.84,9319.96,1588.43,2290.22,1219.23
1882080,26,14725.29,-4879.87,9397.57,1656.99,2328.29,1373.03
1882093,0,14491.43,-4815.10,9476.46,1687.24,2332.14,1495.28
1882105,296,14346.74,-4764.08,9520.37,1679.84,2286.23,1592.07
1882118,215,14198.19,-4720.06,9553.89,1639.72,2230.69,1671.90
1882130,84,14088.96,-4684.05,9583.91,1588.23,2178.07,1740.17
1882143,0,13995.17,-4643.24,9591.93,1519.83,2132.97,1791.99
1882155,0,13908.13,-4636.19,9567.15,1442.31,2095.09,1825.84
1882168,13,13836.91,-4612.95,9545.72,1374.70,2005.18,1808.92
1882180,8,13774.33,-4603.16,9535.77,1319.01,1862.06,1782.58
1882193,0,13786.66,-4592.93,9565.42,1275.45,1677.16,1744.31
1882205,0,13856.53,-4580.75,9607.54,1235.41,1465.24,1701.50
1882218,2,13977.22,-4579.80,9664.43,1215.38,1300.30,1671.45
1882230,0,14028.18,-4559.04,9673.94,1214.15,1214.16,1645.21
1882243,0,14114.54,-4552.83,9691.16,1229.17,1176.84,1616.81
1882255,0,14204.43,-4552.66,9743.32,1242.98,1138.38,1597.90
1882268,0,14314.75,-4560.53,9781.86,1256.23,1078.62,1612.37
1882280,0,14361.40,-4576.42,9826.29,1273.83,1052.21,1642.34
1882293,0,14389.92,-4592.34,9885.83,1304.12,1065.48,1674.32
1882305,0,14391.14,-4613.87,9971.07,1342.94,1089.29,1709.31
1882318,85,14350.51,-4655.10,10085.65,1392.20,1131.35,1748.29
1882330,0,14280.41,-4668.08,10186.12,1430.81,1153.19,1773.28
1882343,0,14241.13,-4664.06,10328.10,1451.09,1115.07,1787.88
1882355,0,14250.50,-4683.25,10544.88,1441.12,1008.16,1799.55
1882368,0,14287.60,-4724.20,10731.90,1359.75,908.44,1837.29
1882380,0,14244.48,-4769.76,10925.52,1278.65,923.67,1882.28
1882393,0,14173.99,-4792.61,11076.42,1206.56,1033.45,1910.87
1882405,0,14052.79,-4822.09,11173.93,1136.50,1170.87,1920.15
1882418,0,13953.43,-4857.67,11266.35,1037.25,1246.41,1896.36
1882430,0,13890.75,-4900.54,11342.68,920.45,1271.24,1867.14
