3129043,3,11083.00,-2101.93,14639.63,-180.52,110.75,-285.71
3129056,2,10909.60,-2081.54,14566.91,-143.57,189.07,-374.89
3129069,90,10759.68,-2057.23,14441.53,-60.81,269.72,-504.63
3129082,0,10764.54,-2166.59,14582.02,58.59,428.24,-667.63
3129095,0,10746.04,-2156.47,14753.62,213.91,681.26,-701.63
3129108,80,10696.03,-2105.18,15114.09,290.97,878.67,-691.63
3129121,0,10679.22,-2025.74,15316.87,206.82,873.20,-745.02
3129134,0,10740.18,-1938.19,15275.10,7.70,444.23,-791.94
3129147,0,10837.74,-1903.35,15150.48,-188.40,108.65,-749.88
3129160,0,10972.59,-1948.28,14943.58,-373.88,-25.42,-664.02
3129173,0,11126.08,-1985.83,14753.27,-479.06,86.93,-549.54
3129186,0,11226.46,-1995.86,14657.02,-514.21,102.01,-494.56
3129199,0,11198.77,-1947.89,14612.81,-506.12,17.28,-480.97
3129212,0,11286.21,-2008.71,14539.85,-504.66,-58.11,-462.70
3129225,0,11240.97,-2046.97,14535.88,-474.48,12.77,-376.88
3129238,0,11197.58,-2092.78,14623.90,-417.34,239.69,-271.83
3129251,0,11310.86,-2076.62,14645.52,-301.03,633.81,-62.39
3129264,0,11289.49,-2055.70,14670.82,-160.18,883.92,147.77
3129277,0,11213.19,-2026.16,14716.66,-30.71,965.40,299.89
3129290,0,11100.95,-1979.33,14703.73,60.88,952.98,406.19
3129303,0,10993.56,-2003.46,14772.58,57.34,852.05,438.63
3129315,0,10930.05,-2016.37,14871.66,21.12,746.91,448.98
3129328,11,10856.04,-2041.09,14900.53,-45.06,620.99,454.06
3129341,0,10803.23,-2102.48,14870.83,-67.01,402.46,399.93
3129354,0,10788.19,-2113.98,14805.46,-68.77,208.83,378.82
3129367,0,10750.55,-2111.18,14796.37,-66.97,37.33,361.73
3129380,31,10754.04,-2104.15,14839.50,-82.93,-121.67,310.66
3129393,0,10792.83,-2095.32,14825.20,-122.31,-279.67,224.01
3129406,0,10795.07,-2086.65,14848.16,-139.60,-386.67,161.28
3129419,3,10798.45,-2093.32,14848.13,-151.04,-397.27,119.30
3129432,0,10813.96,-2101.06,14841.70,-130.19,-293.35,87.12
3129445,0,10831.17,-2098.45,14876.56,-99.91,-210.41,63.77
3129458,0,10835.34,-2099.56,14878.85,-71.09,-163.87,34.49
3129471,0,10856.27,-2107.65,14852.68,-40.83,-118.23,18.67
3129484,0,10869.82,-2102.12,14842.14,-21.02,-70.92,7.01
3129497,0,10872.65,-2106.49,14841.71,-5.17,-45.87,-11.11
3129510,45,10886.12,-2098.79,14830.17,11.30,-73.03,-34.01
3129523,0,10868.10,-2093.44,14822.54,24.28,-124.96,-70.33
3129536,0,10848.88,-2091.55,14819.63,24.67,-204.10,-122.19
3129549,264,10790.30,-2099.64,14814.10,7.18,-322.41,-183.48
3129562,0,10701.84,-2069.31,14815.28,-47.82,-599.87,-282.70
3129575,0,10608.67,-2039.45,14848.23,-117.21,-950.63,-403.49
3129588,0,10480.54,-2008.36,14856.18,-200.13,-1393.64,-549.51
