3227,1.0905,1.681,0.146,0.728
5864217,1674,1449,1871,0.1484,0.3208,1.0915,1.369,0.082,0.829
5864227,1816,1441,1860,0.1502,0.3196,1.0922,1.088,-0.035,0.922
5864237,1666,1466,1872,0.1501,0.3177,1.0907,0.880,-0.042,1.023
5864247,1815,1463,1886,0.1495,0.3184,1.0890,0.797,-0.011,1.112
5864257,1664,1477,1872,0.1495,0.3199,1.0877,0.843,0.053,1.146
5864267,1832,1467,1862,0.1488,0.3210,1.0872,0.993,0.123,1.136
5864277,1654,1500,1871,0.1488,0.3213,1.0878,1.174,0.164,1.100
5864287,1845,1497,1874,0.1486,0.3215,1.0894,1.284,0.182,1.084
5864297,1628,1494,1859,0.1480,0.3213,1.0897,1.267,0.233,1.082
5864307,1846,1486,1858,0.1482,0.3204,1.0885,1.141,0.319,1.083
5864317,1627,1511,1870,0.1483,0.3203,1.0899,1.001,0.364,1.086
5864327,1866,1513,1856,0.1480,0.3191,1.0888,0.940,0.439,1.085
5864337,1636,1517,1879,0.1479,0.3188,1.0889,1.004,0.492,1.076
5864347,1877,1515,1863,0.1477,0.3200,1.0882,1.187,0.528,1.044
5864357,1622,1522,1878,0.1473,0.3208,1.0894,1.415,0.584,1.001
5864367,1878,1536,1857,0.1474,0.3230,1.0887,1.614,0.626,0.977
5864377,1614,1538,1857,0.1459,0.3247,1.0895,1.711,0.632,0.989
5864387,1865,1548,1860,0.1456,0.3256,1.0909,1.691,0.620,1.027
5864397,1612,1544,1919,0.1454,0.3249,1.0919,1.529,0.586,1.077
5864407,1878,1555,1857,0.1458,0.3247,1.0905,1.296,0.542,1.132
5864417,1606,1565,1867,0.1459,0.3247,1.0889,1.089,0.471,1.173
5864427,1888,1555,1856,0.1460,0.3239,1.0895,0.937,0.375,1.182
5864437,1609,1565,1895,0.1459,0.3236,1.0888,0.869,0.292,1.194
5864447,1905,1582,1862,0.1448,0.3241,1.0888,0.839,0.202,1.210
5864457,1609,1574,1913,0.1447,0.3252,1.0898,0.800,0.094,1.242
5864467,1921,1585,1862,0.1443,0.3256,1.0905,0.739,-0.066,1.297
5864477,1610,1581,1888,0.1433,0.3251,1.0899,0.590,-0.242,1.365
5864487,1928,1603,1868,0.1425,0.3257,1.0904,0.362,-0.449,1.444
5864497,1593,1568,1862,0.1428,0.3257,1.0900,0.093,-0.675,1.529
5864507,1952,1616,1862,0.1437,0.3257,1.0902,-0.168,-0.874,1.586
5864517,1609,1608,1857,0.1454,0.3262,1.0907,-0.337,-1.072,1.621
5864527,1934,1606,1857,0.1471,0.3266,1.0910,-0.463,-1.212,1.642
5864537,1606,1586,1869,0.1476,0.3268,1.0894,-0.625,-1.252,1.660
5864547,1991,1647,1858,0.1474,0.3263,1.0911,-0.844,-1.243,1.698
5864557,1608,1628,1888,0.1466,0.3261,1.0906,-1.102,-1.252,1.727
5864567,1959,1628,1858,0.1445,0.3256,1.0906,-1.379,-1.284,1.763
5864577,1606,1613,1889,0.1443,0.3246,1.0921,-1.702,-1.351,1.802
5864587,2018,1678,1861,0.1463,0.3236,1.0932,-2.045,-1.439,1.864
5864597,1609,1642,1895,0.1488,0.3229,1.0950,-2.422,-1.536,1.894
5864607,1924,1702,1859,0.1507,0.3206,1.0967,-2.795,-1.524,1.875
5864617,1613,1678,1886,0.1513,0.3181,1.0961,-3.122,-1.423,1.829
5864627,2138,1706,1859,0.1509,0.3168,1.0944,-3.352,-1.216,1.795
5864637,1609,1696,1901,0.1493,0.3169,1.0929,-3.509,-1.004,1.782
5864647,2006,1720,1857,0.1482,0.3189,1.0917,-3.584,-0.896,1.766
5864657,1616,1734,1902,0.1472,0.3202,1.0914,-3.638,-0.937,1.708
5864667,1993,1771,1867,0.1470,0.3198,1.0927,-3.736,-1.004,1.631
5864677,1613,1746,1885,0.1477,0.3205,1.0958,-3.894,-1.122,1.601
5864687,1998,1736,1859,0.1499,0.3200,1.0989,-4.210,-1.203,1.610
5864697,1634,1721,1861,0.1519,0.3193,1.0991,-4.624,-1.175,1.623
5864707,2041,1689,1864,0.1538,0.3196,1.1006,-5.070,-1.082,1.635
5864717,1605,1805,1862,0.1543,0.3206,1.0995,-5.517,-0.845,1.598
5864727,1827,1884,1861,0.1545,0.3208,1.1014,-5.972,-0.565,1.485
5864737,1620,1842,1880,0.1531,0.3202,1.1020,-6.463,-0.275,1.293
5864747,1930,1911,1870,0.1513,0.3207,1.1002,-7.052,0.061,1.072
5864757,1716,1954,1864,0.1495,0.3232,1.0993,-7.755,0.318,0.898
5864767,2251,1805,1860,0.1476,0.3247,1.0975,-8.648,0.450,0.767
5864777,1605,1947,1868,0.1475,0.3255,1.0979,-9.666,0.479,0.611
5864787,2011,2019,1858,0.1495,0.3302,1.1010,-10.722,0.409,0.389
5864797,1787,2063,1871,0.1525,0.3284,1.1106,-11.872,0.253,0.010
5864807,2063,1956,1861,0.1562,0.3237,1.1100,-13.062,0.373,-0.472
5864817,1631,2135,1864,0.1579,0.3181,1.1128,-14.411,0.634,-0.955
5864827,2026,2084,1872,0.1586,0.3130,1.1139,-15.917,0.839,-1.353
5864837,1666,2091,1871,0.1564,0.3118,1.1088,-17.454,1.288,-1.639
5864847,2478,2130,1864,0.1524,0.3099,1.1080,-18.865,1.539,-1.866
5864857,1654,2094,1876,0.1521,0.3090,1.1042,-20.165,1.819,-2.098
5864867,2121,2045,1859,0.1540,0.3067,1.0999,-21.315,2.034,-2.367
5864877,1622,1943,1871,0.1581,0.3027,1.1055,-22.664,1.987,-2.728
5864887,2054,2133,1867,0.1619,0.2936,1.1069,-23.742,1.996,-3.128
5864897,1647,2224,1871,0.1647,0.2849,1.1120,-24.772,2.198,-3.468
5864907,1806,2163,1903,0.1666,0.2741,1.1132,-25.526,2.595,-3.635
5864917,1609,2197,1893,0.1736,0.2624,1.1214,-26.213,2.887,-3.583
5864927,1965,2088,1865,0.1692,0.2665,1.1250,-26.716,3.368,-3.093
5864937,1626,2184,1869,0.1658,0.2773,1.1230,-27.086,4.097,-2.417
5864947,2088,2102,1872,0.1573,0.2814,1.1243,-27.542,4.925,-2.008
5864957,1648,2148,1873,0.1514,0.2838,1.1256,-28.523,5.453,-1.999
5864967,1945,2146,1873,0.1429,0.2771,1.1280,-30.147,5.921,-2.244
5864977,1616,2225,1878,0.1350,0.2794,1.1314,-32.134,6.027,-2.364
5864987,2003,2090,1878,0.1283,0.2777,1.1275,-34.591,6.117,-2.429
5864997,1630,2202,1870,0.1196,0.2685,1.1339,-37.494,5.858,-2.498
5865007,2016,2011,1867,0.1157,0.2583,1.1326,-40.657,5.473,-2.353
5865017,1607,2169,1877,0.1166,0.2540,1.1274,-43.978,5.085,-1.915
5865027,1918,1999,1877,0.1162,0.2414,1.1352,-47.789,4.064,-1.493
5865037,1610,2081,1869,0.1125,0.2300,1.1268,-51.740,3.390,-1.024
5865047,2027,1990,1867,0.1162,0.2250,1.1290,-55.817,2.596,-0.483
5865057,1647,2022,1863,0.1131,0.2125,1.1210,-59.782,1.988,-0.081
5865067,1970,1975,1863,0.1149,0.1984,1.1153,-63.522,1.269,-0.009
5865077,1633,2022,1872,0.1145,0.1763,1.1064,-66.422,0.607,-0.318
5865087,2021,1972,1870,0.1173,0.1485,1.1055,-68.465,-0.268,-0.924
5865097,1621,1933,1874,0.1176,0.1179,1.0948,-69.586,-0.819,-1.520
5865107,2007,1944,1871,0.1194,0.0893,1.0929,-69.627,-1.538,-1.984
5865117,1621,2002,1896,0.1205,0.0593,1.0851,-68.439,-2.310,-2.326
5865127,2022,2051,1877,0.1259,0.0381,1.0739,-65.977,-3.084,-2.527
5865137,1641,1955,1869,0.1268,0.0132,1.0746,-62.380,-3.892,-2.672
5865147,2032,1936,1864,0.1301,-0.0037,1.0693,-57.639,-4.706,-2.681
5865157,1638,1946,1870,0.1320,-0.0221,1.0769,-52.119,-5.354,-2.573
5865167,2039,1960,1869,0.1374,-0.0298,1.0800,-46.121,-6.089,-2.329
5865177,1652,2013,1891,0.1388,-0.0347,1.0866,-39.806,-6.386,-2.058
5865187,2122,2060,1873,0.1383,-0.0382,1.1004,-33.543,-6.876,-1.946
5865197,1627,2035,1900,0.1422,-0.0384,1.0938,-27.571,-6.648,-2.000
5865207,2082,2057,1866,0.1462,-0.0351,1.1121,-21.936,-6.585,-2.135
5865217,1615,2020,1901,0.1417,-0.0317,1.1196,-16.741,-6.135,-2.355
5865227,2102,2069,1878,0.1435,-0.0283,1.1354,-12.577,-5.617,-2.680
