6098317,1963,2162,2934,0.1989,0.4507,1.0210,-0.537,-0.527,0.322
6098327,1881,2253,2904,0.1975,0.4473,1.0207,-0.606,-0.373,0.156
6098337,1989,2175,2753,0.1976,0.4460,1.0168,-0.544,-0.139,0.052
6098347,1871,2249,2850,0.1989,0.4498,1.0164,-0.271,0.100,0.206
6098357,1951,2180,3014,0.1986,0.4491,1.0181,-0.001,0.205,0.113
6098367,1882,2249,2928,0.1970,0.4490,1.0192,0.344,0.359,-0.153
6098377,1958,2185,2902,0.1971,0.4501,1.0219,0.552,0.472,-0.226
6098387,1872,2251,2875,0.1958,0.4499,1.0210,0.615,0.617,-0.406
6098397,1965,2182,2789,0.1954,0.4492,1.0200,0.599,0.804,-0.574
6098407,1873,2253,2897,0.1953,0.4484,1.0205,0.605,0.944,-0.635
6098417,1930,2202,3010,0.1948,0.4476,1.0204,0.609,0.993,-0.775
6098427,1870,2259,3060,0.1937,0.4469,1.0211,0.718,1.039,-0.906
6098437,1964,2185,2957,0.1935,0.4476,1.0193,0.977,1.160,-0.891
6098447,1863,2242,2862,0.1933,0.4497,1.0174,1.259,1.243,-0.820
6098457,1952,2195,2968,0.1931,0.4525,1.0164,1.444,1.233,-0.823
6098467,1860,2247,2853,0.1932,0.4545,1.0173,1.498,1.199,-0.864
6098477,1951,2176,2953,0.1931,0.4557,1.0178,1.427,1.167,-0.913
6098487,1875,2223,2831,0.1925,0.4558,1.0185,1.255,1.180,-0.957
6098497,1946,2169,2981,0.1926,0.4551,1.0194,1.000,1.159,-0.990
6098507,1849,2245,2893,0.1915,0.4537,1.0198,0.721,1.124,-1.016
6098517,1954,2172,3064,0.1909,0.4521,1.0212,0.482,1.071,-1.019
6098527,1865,2228,2899,0.1909,0.4521,1.0226,0.340,1.007,-0.962
6098537,1950,2156,2926,0.1914,0.4527,1.0216,0.302,0.940,-0.871
6098547,1854,2230,2854,0.1911,0.4534,1.0210,0.357,0.915,-0.785
6098557,1942,2155,2964,0.1913,0.4545,1.0213,0.410,0.850,-0.694
6098567,1872,2217,3053,0.1900,0.4551,1.0223,0.414,0.787,-0.633
6098577,1914,2162,3004,0.1896,0.4552,1.0211,0.361,0.769,-0.614
6098587,1859,2223,2896,0.1895,0.4555,1.0206,0.268,0.756,-0.584
