3291306,0,1000.93,-12230.36,13347.30,330.85,-131.29,-716.33
3291319,0,987.95,-12257.09,13409.04,345.93,-112.12,-744.22
3291332,0,1014.36,-12292.87,13445.63,323.59,-134.18,-768.32
3291345,0,1063.49,-12331.90,13442.91,284.72,-164.43,-782.61
3291358,0,1147.59,-12360.72,13473.53,234.23,-200.44,-791.64
3291371,0,1189.27,-12367.77,13510.02,165.43,-236.84,-785.66
3291384,0,1236.22,-12375.82,13559.22,97.59,-264.36,-772.48
3291397,0,1280.17,-12379.86,13589.77,27.32,-280.77,-748.54
3291410,0,1315.34,-12385.48,13634.22,-62.70,-270.71,-699.78
3291423,0,1337.07,-12384.39,13644.98,-149.11,-236.65,-646.58
3291436,0,1359.26,-12360.31,13666.38,-231.44,-183.81,-595.61
3291449,0,1375.41,-12319.45,13707.50,-309.50,-123.34,-545.04
3291462,0,1353.92,-12234.76,13710.80,-395.35,-38.76,-495.59
3291475,0,1295.14,-12167.01,13724.64,-477.84,44.11,-456.22
3291488,0,1236.91,-12112.01,13720.51,-557.42,103.40,-426.73
3291501,0,1173.53,-12095.21,13694.01,-651.09,89.83,-403.73
3291514,0,1126.82,-12102.56,13673.61,-734.62,50.38,-386.94
3291527,0,1098.26,-12124.45,13608.49,-805.45,-5.59,-381.30
3291540,0,1113.01,-12165.16,13607.59,-867.11,-29.16,-377.79
3291553,0,1130.41,-12200.13,13573.27,-914.44,-2.81,-377.39
3291566,0,1129.12,-12260.90,13489.82,-949.71,58.86,-385.06
3291579,0,1092.90,-12335.12,13396.66,-975.12,134.00,-395.40
3291592,0,1067.92,-12437.70,13267.72,-988.85,175.11,-425.67
3291605,0,1035.94,-12569.36,13149.38,-1000.83,150.60,-458.89
3291618,0,1103.95,-12670.69,13057.90,-1010.01,70.60,-488.06
3291631,0,1134.36,-12770.15,12971.12,-1025.36,-30.01,-507.40
3291644,0,1141.09,-12851.32,12890.50,-1031.84,-86.10,-519.87
3291657,0,1144.87,-12925.06,12817.20,-1042.43,-129.36,-532.05
3291670,0,1188.70,-12976.05,12704.96,-1073.09,-196.18,-536.39
3291683,0,1238.96,-13031.24,12595.97,-1109.03,-281.03,-529.26
3291696,0,1335.17,-13077.79,12514.37,-1148.57,-382.51,-516.36
3291709,0,1440.93,-13071.83,12429.10,-1139.81,-513.50,-483.24
3291722,0,1536.75,-13053.47,12390.48,-1120.60,-592.69,-450.15
3291735,0,1581.40,-13035.57,12360.38,-1122.63,-621.84,-415.07
3291748,0,1602.72,-13022.06,12339.51,-1142.46,-630.36,-377.01
3291761,28,1658.17,-12988.85,12250.01,-1170.12,-683.57,-325.96
3291774,0,1664.14,-12994.28,12220.81,-1193.45,-741.75,-272.72
3291787,0,1675.31,-12974.62,12205.44,-1206.31,-799.88,-228.33
3291800,0,1679.45,-12993.30,12178.76,-1212.40,-825.20,-172.61
3291813,0,1717.96,-12986.64,12087.00,-1210.47,-788.84,-122.04
3291826,3,1774.37,-12980.51,11968.00,-1185.93,-686.36,-87.18
3291839,0,1763.49,-12991.61,11890.40,-1074.10,-469.78,-56.10
3291852,0,1747.60,-13004.49,11866.72,-922.43,-279.11,-31.03
3291865,0,1722.88,-12996.39,11930.18,-760.29,-151.38,-21.98
3291878,0,1653.50,-12987.51,11960.14,-623.99,-53.39,-23.53
3291891,0,1652.40,-12919.61,11949.71,-486.54,-95.60,-29.38
3291904,0,1692.32,-12864.49,11962.97,-361.39,-237.17,-24.65
3291917,375,1746.66,-12853.19,11944.78,-232.86,-405.62,-11.87
3291930,0,1790.13,-12840.95,12078.22,-40.24,-514.18,23.15
3291943,0,1800.10,-12819.96,12197.78,150.26,-531.83,49.57
3291956,116,1817.68,-12716.77,12320.62,332.85,-544.36,63.30
3291969,0,1733.34,-12671.82,12412.50,497.13,-525.57,115.09
3291982,0,1797.08,-12558.25,12444.40,635.35,-515.75,159.72
3291995,2,1931.26,-12508.20,12494.72,760.13,-519.68,232.82
3292008,0,2056.21,-12450.56,12731.78,913.95,-392.63,369.31
3292021,197,2109.77,-12418.85,13059.02,1053.01,-155.20,476.50
3292034,0,2053.41,-12345.48,13079.22,1166.66,176.36,551.04
3292046,184,2001.93,-12297.19,13273.77,1274.77,534.20,599.68
3292058,193,2039.94,-12221.75,13263.82,1344.47,766.47,655.00
3292071,0,2008.76,-12161.40,13187.86,1402.62,975.09,731.24
3292083,0,1939.00,-12115.52,13191.88,1458.14,1197.58,820.04
3292096,0,1792.80,-12079.62,13254.31,1523.36,1397.58,901.48
3292108,30,1494.24,-12006.89,13369.04,1596.14,1377.78,924.64
3292121,0,1276.19,-11959.12,13617.64,1610.16,1248.33,922.56
3292133,0,947.36,-11936.09,13882.11,1565.78,1074.18,896.29
3292146,0,713.08,-11864.07,13909.69,1469.47,836.06,816.28
3292158,0,612.87,-11880.86,13820.55,1327.42,439.56,724.88
3292171,392,503.89,-11902.29,13738.84,1215.79,63.36,629.55
3292183,0,471.12,-11873.83,13456.67,1127.08,-289.00,530.69
3292196,0,812.89,-11582.26,14104.54,1070.11,-605.69,464.20
3292209,0,1011.91,-11631.41,14003.63,1009.54,-1090.24,471.81
3292222,0,1424.73,-11724.33,14057.31,922.88,-1262.28,549.09
3292235,400,1535.78,-11835.46,14035.44,854.75,-1173.31,636.52
3292248,7,1341.43,-11909.17,13897.16,817.65,-924.74,571.27
3292261,112,1268.34,-11968.94,13660.92,781.17,-756.08,552.46
3292274,1073,1229.87,-12008.75,13397.54,760.18,-733.35,553.02
3292287,0,1231.10,-12107.00,13266.03,784.19,-833.57,599.26
3292300,0,1131.28,-12119.20,13397.63,842.80,-926.54,608.06
3292313,0,1092.22,-12148.16,13449.30,897.29,-1063.92,604.70
3292326,20,1046.58,-12196.13,13558.64,923.48,-1243.82,596.80
3292339,731,1099.66,-12196.90,13419.71,953.83,-1519.75,575.69
3292352,995,1120.53,-12167.12,13184.57,1007.11,-1719.48,544.00
3292365,0,1170.82,-12158.50,13149.26,1049.74,-1769.88,510.25
3292378,0,1140.66,-12114.80,13149.00,1065.64,-1739.79,417.45
3292391,251,1186.93,-12169.44,13177.60,1071.36,-1722.52,340.81
3292404,158,1145.54,-12178.75,13285.28,1089.34,-1699.10,251.29
3292417,0,1191.63,-12140.60,13229.83,1067.12,-1722.17,124.28
3292430,0,1254.11,-12146.08,13099.86,1041.34,-1710.02,18.88
3292443,339,1274.49,-12113.66,13184.69,1055.52,-1574.51,-53.25
3292456,0,1329.99,-12033.33,13395.75,1091.66,-1424.29,-137.95
3292469,0,1495.99,-11969.07,13650.20,1086.78,-1351.12,-186.71
3292482,34,1538.39,-11948.85,13764.16,1041.67,-1305.38,-227.92
3292495,99,1641.11,-11911.08,13860.93,972.19,-1222.00,-266.89
